iddepto,idindicador,yea2005,yea2006,yea2007,yea2008,yea2009,yea2010
73.0,ttdnesti,29.71006167,28.32303644,26.93601122,25.54898599,24.16196077,22.77493554
75.0,ctrmormt,1.0,0.0,0.0,0.0,1.0,2.0
76.0,caelacex,,,,,,1.6
76.0,cgrnacim,23295.0,22794.0,21994.0,21651.0,20715.0,19567.0
76.0,ctrmormt,55.0,41.0,39.0,27.0,33.0,30.0
76.0,pbehtaco,,,9.2,,,
76.0,pbepredc,,,,,,6.0
76.0,pbepredg,,,,,,1.8
76.0,pbretaia,,,,,,62.5
76.0,pbrmivih,,,,2.3,3.4,1.2
76.0,pcrparin,97.64714253279072,98.21393187093024,98.9055136083721,99.01186979418604,98.74368945697674,98.71861754883723
76.0,pcrperca,98.32736729,98.78372438,99.16345661,99.13046359,99.18124047,99.25039405
76.0,pcrrncpn,86.33,87.66,88.2,88.69,88.55,90.81
76.0,pgeembar,19.6,,,,,18.3
76.0,ptrldeng,,,0.0,0.3,1.07,1.9
76.0,rtrmorpu,88.29,66.76,64.48,44.72,56.53,54.98
76.0,ttdiesti,17.09188611,16.67232029046512,16.25226947186047,15.832660535116275,15.413263767674422,14.99407574255814
76.0,ttdnesti,21.05144223,20.181261300000003,19.31108038,18.44089945,17.57071853,16.7005376
81.0,caelacex,,,,,,2.6
81.0,cgrnacim,62297.0,61417.0,60487.0,60377.0,58381.0,54562.0
81.0,ctrmormt,3.0,2.0,5.0,4.0,2.0,5.0
81.0,pbehtaco,,,6.2,,,
81.0,pbepredc,,,,,,13.0
81.0,pbepredg,,,,,,3.0
81.0,pbretaia,,,,,,77.77777778
81.0,pbrmivih,,,,0.0,,0.0
81.0,pcrparin,73.41474775857144,79.32061072714285,86.70027855,87.61200733,88.36363459714286,89.66174666857144
81.0,pcrperca,79.38225457,81.59851301,89.88326848,89.19925512,88.60544218,90.18036072
81.0,pcrrncpn,81.59,81.45,81.39,82.18,81.51,81.7
81.0,pgeembar,26.8,,,,,23.5
81.0,ptrldeng,,,1.96,0.0,6.52,4.0
81.0,rtrmorpu,59.02,37.17,108.08,82.76,42.52,111.33
81.0,ttdiesti,28.91365357125,28.1808257525,27.45083527875,26.717422565,25.986641499999998,25.2547538075
81.0,ttdnesti,70.84249471,63.2968048,55.75111489,48.20542498,40.65973507,33.11404515
85.0,caelacex,,,,,,4.6
85.0,cgrnacim,5083.0,5380.0,4626.0,4833.0,4704.0,4491.0
85.0,ctrmormt,3.0,3.0,2.0,4.0,4.0,5.0
85.0,pbehtaco,,,8.0,,,
85.0,pbepredc,,,,,,10.1
85.0,pbepredg,,,,,,2.5
85.0,pbretaia,,,,,,100.0
85.0,pbrmivih,,,,,0.0,11.1
85.0,pcrparin,94.83893481549998,94.23936431050001,93.32763522,95.76473644749998,95.20185302399999,96.82193121049998
85.0,pcrperca,96.96816574,97.8744439,97.5,97.8284643,97.9217375,98.37687432
85.0,pcrrncpn,78.27,79.12,80.17,80.14,76.48,75.76
85.0,pgeembar,22.2,,,,,25.5
85.0,ptrldeng,,,3.03,0.0,0.73,2.0
85.0,rtrmorpu,50.53,49.43,31.45,62.49,74.89,77.29
85.0,ttdiesti,33.742377700999995,33.3710303965,33.0001555585,32.6287487785,32.25673434549999,31.886270732000003
85.0,ttdnesti,47.364658399999996,44.80880128,42.25294416,39.69708704,37.14122992,34.585372799999995
86.0,caelacex,,,,,,1.5
86.0,cgrnacim,5937.0,6069.0,6360.0,6401.0,5341.0,6469.0
86.0,ctrmormt,3.0,5.0,7.0,4.0,6.0,10.0
86.0,pbehtaco,,,5.9,,,
